id,id_propinsi,kabupaten_kota,deleted
1,1,PIDIE JAYA,F
2,1,SIMEULUE,F
3,1,BIREUEN,F
4,1,ACEH TIMUR,F
5,1,ACEH UTARA,F
6,1,PIDIE,F
7,1,ACEH BARAT DAYA,F
8,1,GAYO LUES,F
9,1,ACEH SELATAN,F
10,1,ACEH TAMIANG,F
11,1,ACEH BESAR,F
12,1,ACEH TENGGARA,F
13,1,BENER MERIAH,F
14,1,ACEH JAYA,F
15,1,LHOKSEUMAWE,F
16,1,ACEH BARAT,F
17,1,NAGAN RAYA,F
18,1,LANGSA,F
19,1,BANDA ACEH,F
20,1,ACEH SINGKIL,F
21,1,SABANG,F
22,1,ACEH TENGAH,F
23,1,SUBULUSSALAM,F
24,2,NIAS SELATAN,F
25,2,MANDAILING NATAL,F
26,2,DAIRI,F
27,2,LABUHAN BATU UTARA,F
28,2,TAPANULI UTARA,F
29,2,SIMALUNGUN,F
30,2,LANGKAT,F
31,2,SERDANG BEDAGAI,F
32,2,TAPANULI SELATAN,F
33,2,ASAHAN,F
34,2,PADANG LAWAS UTARA,F
35,2,PADANG LAWAS,F
36,2,LABUHAN BATU SELATAN,F
37,2,PADANG SIDEMPUAN,F
38,2,TOBA SAMOSIR,F
39,2,TAPANULI TENGAH,F
40,2,HUMBANG HASUNDUTAN,F
41,2,SIBOLGA,F
42,2,BATU BARA,F
43,2,SAMOSIR,F
44,2,PEMATANG SIANTAR,F
45,2,LABUHAN BATU,F
46,2,DELI SERDANG,F
47,2,GUNUNGSITOLI,F
48,2,NIAS UTARA,F
49,2,NIAS,F
50,2,KARO,F
51,2,NIAS BARAT,F
52,2,MEDAN,F
53,2,PAKPAK BHARAT,F
54,2,TEBING TINGGI,F
55,2,BINJAI,F
56,2,TANJUNG BALAI,F
57,3,DHARMASRAYA,F
58,3,SOLOK SELATAN,F
59,3,SIJUNJUNG (SAWAH LUNTO SIJUNJUNG),F
60,3,PASAMAN BARAT,F
61,3,SOLOK,F
62,3,PASAMAN,F
63,3,PARIAMAN,F
64,3,TANAH DATAR,F
65,3,PADANG PARIAMAN,F
66,3,PESISIR SELATAN,F
67,3,PADANG,F
68,3,SAWAH LUNTO,F
69,3,LIMA PULUH KOTO / KOTA,F
70,3,AGAM,F
71,3,PAYAKUMBUH,F
72,3,BUKITTINGGI,F
73,3,PADANG PANJANG,F
74,3,KEPULAUAN MENTAWAI,F
75,4,INDRAGIRI HILIR,F
76,4,KUANTAN SINGINGI,F
77,4,PELALAWAN,F
78,4,PEKANBARU,F
79,4,ROKAN HILIR,F
80,4,BENGKALIS,F
81,4,INDRAGIRI HULU,F
82,4,ROKAN HULU,F
83,4,KAMPAR,F
84,4,KEPULAUAN MERANTI,F
85,4,DUMAI,F
86,4,SIAK,F
87,5,TEBO,F
88,5,TANJUNG JABUNG BARAT,F
89,5,MUARO JAMBI,F
90,5,KERINCI,F
91,5,MERANGIN,F
92,5,BUNGO,F
93,5,TANJUNG JABUNG TIMUR,F
94,5,SUNGAIPENUH,F
95,5,BATANG HARI,F
96,5,JAMBI,F
97,5,SAROLANGUN,F
98,6,PALEMBANG,F
99,6,LAHAT,F
100,6,OGAN KOMERING ULU TIMUR,F
101,6,MUSI BANYUASIN,F
102,6,PAGAR ALAM,F
103,6,OGAN KOMERING ULU SELATAN,F
104,6,BANYUASIN,F
105,6,MUSI RAWAS,F
106,6,MUARA ENIM,F
107,6,OGAN KOMERING ULU,F
108,6,OGAN KOMERING ILIR,F
109,6,EMPAT LAWANG,F
110,6,LUBUK LINGGAU,F
111,6,PRABUMULIH,F
112,6,OGAN ILIR,F
113,7,BENGKULU TENGAH,F
114,7,REJANG LEBONG,F
115,7,MUKO MUKO,F
116,7,KAUR,F
117,7,BENGKULU UTARA,F
118,7,LEBONG,F
119,7,KEPAHIANG,F
120,7,BENGKULU SELATAN,F
121,7,SELUMA,F
122,7,BENGKULU,F
123,8,LAMPUNG UTARA,F
124,8,WAY KANAN,F
125,8,LAMPUNG TENGAH,F
126,8,MESUJI,F
127,8,PRINGSEWU,F
128,8,LAMPUNG TIMUR,F
129,8,LAMPUNG SELATAN,F
130,8,TULANG BAWANG,F
131,8,TULANG BAWANG BARAT,F
132,8,TANGGAMUS,F
133,8,LAMPUNG BARAT,F
134,8,PESISIR BARAT,F
135,8,PESAWARAN,F
136,8,BANDAR LAMPUNG,F
137,8,METRO,F
138,9,BELITUNG,F
139,9,BELITUNG TIMUR,F
140,9,BANGKA,F
141,9,BANGKA SELATAN,F
142,9,BANGKA BARAT,F
143,9,PANGKAL PINANG,F
144,9,BANGKA TENGAH,F
145,10,KEPULAUAN ANAMBAS,F
146,10,BINTAN,F
147,10,NATUNA,F
148,10,BATAM,F
149,10,TANJUNG PINANG,F
150,10,KARIMUN,F
151,10,LINGGA,F
152,11,JAKARTA UTARA,F
153,11,JAKARTA BARAT,F
154,11,JAKARTA TIMUR,F
155,11,JAKARTA SELATAN,F
156,11,JAKARTA PUSAT,F
157,11,KEPULAUAN SERIBU,F
158,12,DEPOK,F
159,12,KARAWANG,F
160,12,CIREBON,F
161,12,BANDUNG,F
162,12,SUKABUMI,F
163,12,SUMEDANG,F
164,12,INDRAMAYU,F
165,12,MAJALENGKA,F
166,12,KUNINGAN,F
167,12,TASIKMALAYA,F
168,12,CIAMIS,F
169,12,SUBANG,F
170,12,PURWAKARTA,F
171,12,BOGOR,F
172,12,BEKASI,F
173,12,GARUT,F
174,12,PANGANDARAN,F
175,12,CIANJUR,F
176,12,BANJAR,F
177,12,BANDUNG BARAT,F
178,12,CIMAHI,F
179,13,PURBALINGGA,F
180,13,KEBUMEN,F
181,13,MAGELANG,F
182,13,CILACAP,F
183,13,BATANG,F
184,13,BANJARNEGARA,F
185,13,BLORA,F
186,13,BREBES,F
187,13,BANYUMAS,F
188,13,WONOSOBO,F
189,13,TEGAL,F
190,13,PURWOREJO,F
191,13,PATI,F
192,13,SUKOHARJO,F
193,13,KARANGANYAR,F
194,13,PEKALONGAN,F
