id,id_kabupaten_kota,kecamatan,deleted
1,1,BANDAR BARU,F
2,2,TEUPAH TENGAH,F
3,3,JULI,F
4,4,MADAT,F
5,3,JANGKA,F
6,5,LHOKSUKON,F
7,5,SAWANG,F
8,3,JEUMPA,F
9,6,PIDIE,F
10,1,BANDAR DUA,F
11,7,TANGAN-TANGAN,F
12,6,PADANG TIJI,F
13,4,BIREM BAYEUN,F
14,8,BLANG KEJEREN,F
15,8,PANTAN CUACA,F
16,9,TAPAK TUAN,F
17,2,SIMEULEU TIMUR,F
18,10,SERUWAY,F
19,9,SAMA DUA,F
20,11,INGIN JAYA,F
21,11,PEUKAN BADA,F
22,8,BLANG PEGAYON,F
23,12,LEUSER,F
24,8,BLANG JERANGO,F
25,9,KLUET TIMUR,F
26,13,GAJAH PUTIH,F
27,12,BABUSSALAM,F
28,12,BABUL RAHMAH,F
29,5,SYAMTALIRA BAYU,F
30,2,SALANG,F
31,5,TANAH PASIR,F
32,14,KEUDE PANGA,F
33,6,MUTIARA TIMUR,F
34,14,TEUNOM,F
35,5,BAKTIYA,F
36,5,GEUREDONG PASE,F
37,15,MUARA DUA,F
38,5,SIMPANG KRAMAT (KERAMAT),F
39,16,ARONGAN LAMBALEK,F
40,16,BUBON,F
41,3,SAMALANGA,F
42,9,MEUKEK,F
43,5,SEUNUDDON (SEUNUDON),F
44,17,TADU RAYA,F
45,4,PEUDAWA,F
46,4,RANTO PEUREULAK,F
47,17,DARUL MAKMUR,F
48,18,LANGSA KOTA,F
49,5,PAYA BAKONG,F
50,5,NISAM,F
51,16,WOYLA TIMUR,F
52,16,WOYLA,F
53,4,PEUREULAK TIMUR,F
54,4,PEUREULAK BARAT,F
55,4,SIMPANG ULIM,F
56,17,SEUNAGAN,F
57,5,NIBONG,F
58,5,PIRAK TIMUR,F
59,6,TANGSE,F
60,10,BENDAHARA,F
61,4,JULOK,F
62,4,DARUL AMAN,F
63,7,SETIA,F
64,19,MEURAXA,F
65,5,COT GIREK,F
66,18,LANGSA BARO,F
67,4,IDI RAYEUK,F
68,4,PEUREULAK,F
69,5,LANGKAHAN,F
70,3,MAKMUR,F
71,5,MATANGKULI,F
72,14,DARUL HIKMAH,F
73,17,SUKA MAKMUE,F
74,5,TANAH LUAS,F
75,3,PEUDADA,F
76,11,SEULIMEUM,F
77,3,PEUSANGAN,F
