id,id_kecamatan,kelurahan_desa,kode_pos,deleted
1,1,ABAH LUENG,24184,F
2,2,ABAIL,23891,F
3,3,ABEUK BUDI,24251,F
4,4,ABEUK GEULANTEU,24458,F
5,5,ABEUK JALOH,24261,F
6,6,ABEUK LEUPON (LEUPEN),24382,F
7,7,ABEUK REULING,24377,F
8,8,ABEUK TINGKEUM,24251,F
9,8,ABEUK USONG,24251,F
10,9,ABO TEUBENG,24151,F
11,10,ADAN,24188,F
12,11,ADAN,23763,F
13,12,ADANG,24161,F
14,13,AFDELING II BUKIT / BUKET,24452,F
15,14,AGUSEN,24655,F
16,15,AIH SELAH,24654,F
17,16,AIR BERUDANG,23711,F
18,17,AIR DINGIN,23891,F
19,18,AIR MASIN,24473,F
20,17,AIR PINANG,23891,F
21,16,AIR PINANG,23711,F
22,19,AIR SIALANG HILIR,23752,F
23,19,AIR SIALANG HULU,23752,F
24,19,AIR SIALANG TENGAH,23752,F
25,20,AJEE CUT,23371,F
26,20,AJEE PAGAR AIR,23371,F
27,20,AJEE RAYEUK,23371,F
28,21,AJUEN,23351,F
29,22,AKANG SIWAH,24653,F
30,23,AKHIH MAJILE,24673,F
31,1,AKI NEUNGOH,24184,F
32,24,AKUL,24655,F
33,25,ALAI,23772,F
34,26,ALAM JAYA,24553,F
35,27,ALAS MEMANCAR,24651,F
36,28,ALAS MESIKHAT,24673,F
37,29,ALEN,24373,F
38,3,ALEU RAMBONG,24251,F
39,30,ALONG JAYA,23893,F
40,31,ALUE (MEUNASAH ALUE),24391,F
41,6,ALUE ABEE,24382,F
42,32,ALUE ABET,23653,F
43,33,ALUE ADAN,24173,F
44,34,ALUE AMBANG,23653,F
45,35,ALUE ANOU BARAT,24392,F
46,35,ALUE ANOU TIMU,24392,F
47,36,ALUE AWE,24373,F
48,37,ALUE AWE,24352,F
49,38,ALUE BADEE,24313,F
50,39,ALUE BAGOK,23652,F
51,40,ALUE BAKONG,23652,F
52,41,ALUE BARAT,24264,F
53,42,ALUE BARO,23754,F
54,43,ALUE BAROH,24393,F
55,44,ALUE BATA,23661,F
56,39,ALUE BATEE,23652,F
57,45,ALUE BATEE,24454,F
58,46,ALUE BATEE,24453,F
59,47,ALUE BATEUNG BROK,23662,F
60,5,ALUE BAYEU UTANG,24261,F
61,48,ALUE BERAWE,24410,F
62,5,ALUE BIE PUSONG,24261,F
63,49,ALUE BIENG,24386,F
