id,id_kelurahan_desa,id_kecamatan,id_kabupaten_kota,id_propinsi,kode_pos,deleted
1,1,1,1,1,24184,F
2,2,2,2,1,23891,F
3,3,3,3,1,24251,F
4,4,4,4,1,24458,F
5,5,5,3,1,24261,F
6,6,6,5,1,24382,F
7,7,7,5,1,24377,F
8,8,8,3,1,24251,F
9,9,8,3,1,24251,F
10,10,9,6,1,24151,F
11,11,10,1,1,24188,F
12,12,11,7,1,23763,F
13,13,12,6,1,24161,F
14,14,13,4,1,24452,F
15,15,14,8,1,24655,F
16,16,15,8,1,24654,F
17,17,16,9,1,23711,F
18,18,17,2,1,23891,F
19,19,18,10,1,24473,F
20,20,17,2,1,23891,F
21,21,16,9,1,23711,F
22,22,19,9,1,23752,F
23,23,19,9,1,23752,F
24,24,19,9,1,23752,F
25,25,20,11,1,23371,F
26,26,20,11,1,23371,F
27,27,20,11,1,23371,F
28,28,21,11,1,23351,F
29,29,22,8,1,24653,F
30,30,23,12,1,24673,F
31,31,1,1,1,24184,F
32,32,24,8,1,24655,F
33,33,25,9,1,23772,F
34,34,26,13,1,24553,F
35,35,27,12,1,24651,F
36,36,28,12,1,24673,F
37,37,29,5,1,24373,F
38,38,3,3,1,24251,F
39,39,30,2,1,23893,F
40,40,31,5,1,24391,F
41,41,6,5,1,24382,F
42,42,32,14,1,23653,F
43,43,33,6,1,24173,F
44,44,34,14,1,23653,F
45,45,35,5,1,24392,F
46,46,35,5,1,24392,F
47,47,36,5,1,24373,F
48,48,37,15,1,24352,F
49,49,38,5,1,24313,F
50,50,39,16,1,23652,F
51,51,40,16,1,23652,F
52,52,41,3,1,24264,F
53,53,42,9,1,23754,F
54,54,43,5,1,24393,F
55,55,44,17,1,23661,F
56,56,39,16,1,23652,F
57,57,45,4,1,24454,F
58,58,46,4,1,24453,F
59,59,47,17,1,23662,F
60,60,5,3,1,24261,F
61,61,48,18,1,24410,F
62,62,5,3,1,24261,F
63,63,49,5,1,24386,F
64,64,35,5,1,24392,F
65,65,35,5,1,24392,F
66,66,50,5,1,24376,F
67,67,47,17,1,23662,F
68,68,51,16,1,23682,F
69,69,52,16,1,23654,F
70,70,53,4,1,24453,F
71,71,53,4,1,24453,F
72,72,54,4,1,24453,F
73,73,54,4,1,24453,F
74,74,54,4,1,24453,F
75,75,54,4,1,24453,F
76,76,53,4,1,24453,F
77,77,6,5,1,24382,F
78,78,55,4,1,24458,F
79,79,55,4,1,24458,F
80,80,56,17,1,23671,F
81,81,13,4,1,24452,F
82,82,57,5,1,24385,F
83,83,58,5,1,24386,F
84,84,5,3,1,24261,F
85,85,35,5,1,24392,F
86,86,5,3,1,24261,F
87,87,59,6,1,24166,F
88,88,43,5,1,24393,F
89,89,13,4,1,24452,F
90,90,60,10,1,24472,F
91,91,61,4,1,24457,F
92,92,62,4,1,24455,F
93,93,35,5,1,24392,F
94,94,63,7,1,23763,F
95,95,64,19,1,23232,F
96,96,56,17,1,23671,F
97,97,65,5,1,24352,F
98,98,13,4,1,24452,F
99,99,66,18,1,24415,F
100,100,67,4,1,24454,F
101,101,67,4,1,24454,F
102,102,68,4,1,24453,F
103,103,69,5,1,24394,F
104,104,66,18,1,24415,F
105,105,70,3,1,24357,F
106,106,46,4,1,24453,F
107,107,51,16,1,23682,F
108,108,71,5,1,24386,F
109,109,6,5,1,24382,F
110,110,13,4,1,24452,F
111,111,13,4,1,24452,F
112,112,13,4,1,24452,F
113,113,62,4,1,24455,F
114,114,72,14,1,23656,F
115,115,73,17,1,23671,F
116,116,44,17,1,23661,F
117,117,74,5,1,24385,F
118,118,75,3,1,24262,F
119,119,35,5,1,24392,F
120,120,46,4,1,24453,F
121,121,47,17,1,23662,F
122,122,76,11,1,23951,F
123,123,77,3,1,24261,F
124,124,78,3,1,24261,F
125,125,79,14,1,23656,F
126,126,80,5,1,24381,F
127,127,53,4,1,24453,F
128,128,81,4,1,24457,F
129,129,45,4,1,24454,F
130,130,82,17,1,23661,F
131,131,81,4,1,24457,F
132,132,57,5,1,24385,F
133,133,83,4,1,24458,F
134,134,84,5,1,24394,F
135,135,85,10,1,24471,F
136,136,35,5,1,24392,F
137,137,78,3,1,24261,F
138,138,86,3,1,24263,F
139,139,6,5,1,24382,F
140,140,6,5,1,24382,F
141,141,87,4,1,24458,F
142,142,35,5,1,24392,F
143,143,47,17,1,23662,F
144,144,88,14,1,23653,F
145,145,89,4,1,24455,F
146,146,90,7,1,23767,F
147,147,73,17,1,23671,F
148,148,91,4,1,24452,F
149,149,74,5,1,24385,F
150,150,92,16,1,23681,F
151,151,93,1,1,24187,F
152,152,94,16,1,23682,F
153,153,78,3,1,24261,F
154,154,95,5,1,24376,F
155,155,35,5,1,24392,F
156,156,10,1,1,24188,F
157,157,75,3,1,24262,F
158,158,43,5,1,24393,F
159,159,69,5,1,24394,F
160,160,78,3,1,24261,F
161,161,88,14,1,23653,F
162,162,91,4,1,24452,F
163,163,96,4,1,24454,F
164,164,96,4,1,24454,F
165,165,5,3,1,24261,F
166,166,51,16,1,23682,F
167,167,47,17,1,23662,F
168,168,44,17,1,23661,F
169,169,97,6,1,24152,F
170,170,98,3,1,24263,F
171,171,65,5,1,24352,F
172,172,99,3,1,24251,F
173,173,94,16,1,23682,F
174,174,100,16,1,23681,F
175,175,40,16,1,23652,F
176,176,96,4,1,24454,F
177,177,100,16,1,23681,F
178,178,101,15,1,24375,F
179,179,8,3,1,24251,F
180,180,29,5,1,24373,F
181,181,102,7,1,23764,F
182,182,103,3,1,24356,F
183,183,10,1,1,24188,F
184,184,104,18,1,24411,F
185,185,6,5,1,24382,F
186,186,51,16,1,23682,F
187,187,34,14,1,23653,F
188,188,42,9,1,23754,F
189,189,105,14,1,23657,F
190,190,55,4,1,24458,F
191,191,106,19,1,23116,F
192,192,57,5,1,24385,F
193,193,68,4,1,24453,F
194,194,13,4,1,24452,F
195,195,100,16,1,23681,F
196,196,107,7,1,23766,F
197,197,57,5,1,24385,F
198,198,32,14,1,23653,F
199,199,74,5,1,24385,F
200,200,52,16,1,23654,F
201,201,84,5,1,24394,F
202,202,81,4,1,24457,F
203,203,94,16,1,23682,F
204,204,100,16,1,23681,F
205,205,90,7,1,23767,F
206,206,77,3,1,24261,F
